"year","district","primary_type","arrests"
2016,17,"WEAPONS VIOLATION",28
2003,17,"DECEPTIVE PRACTICE",91
2004,17,"WEAPONS VIOLATION",60
2004,17,"CRIM SEXUAL ASSAULT",8
2010,17,"LIQUOR LAW VIOLATION",47
2010,17,"ARSON",6
2012,17,"CRIM SEXUAL ASSAULT",11
2005,17,"LIQUOR LAW VIOLATION",76
2008,17,"INTERFERENCE WITH PUBLIC OFFICER",13
2008,17,"PROSTITUTION",41
2011,17,"OFFENSE INVOLVING CHILDREN",11
2016,17,"DECEPTIVE PRACTICE",22
2006,17,"INTIMIDATION",7
2007,17,"KIDNAPPING",4
2012,17,"OFFENSE INVOLVING CHILDREN",12
2008,17,"CRIM SEXUAL ASSAULT",9
2011,17,"INTERFERENCE WITH PUBLIC OFFICER",18
2012,17,"PUBLIC PEACE VIOLATION",58
2013,17,"OFFENSE INVOLVING CHILDREN",16
2017,17,"OTHER OFFENSE",67
2006,17,"INTERFERENCE WITH PUBLIC OFFICER",21
2007,17,"OFFENSE INVOLVING CHILDREN",34
2014,17,"PROSTITUTION",27
2015,17,"CRIM SEXUAL ASSAULT",6
2004,17,"PUBLIC PEACE VIOLATION",57
2013,17,"HOMICIDE",3
2016,17,"INTERFERENCE WITH PUBLIC OFFICER",11
2018,17,"INTIMIDATION",1
2018,17,"OTHER OFFENSE",44
2005,17,"INTERFERENCE WITH PUBLIC OFFICER",17
2007,17,"GAMBLING",11
2012,17,"MOTOR VEHICLE THEFT",19
2003,17,"GAMBLING",25
2005,17,"INTIMIDATION",1
2011,17,"ROBBERY",46
2012,17,"LIQUOR LAW VIOLATION",33
2013,17,"GAMBLING",2
2019,17,"OFFENSE INVOLVING CHILDREN",8
2019,17,"CRIMINAL TRESPASS",48
2015,17,"SEX OFFENSE",12
2009,17,"OFFENSE INVOLVING CHILDREN",10
2019,17,"HOMICIDE",3
2002,17,"GAMBLING",30
2015,17,"WEAPONS VIOLATION",23
2015,17,"PUBLIC PEACE VIOLATION",29
2004,17,"KIDNAPPING",2
2013,17,"CRIMINAL DAMAGE",51
2018,17,"ROBBERY",26
2009,17,"DECEPTIVE PRACTICE",50
2014,17,"INTERFERENCE WITH PUBLIC OFFICER",16
2014,17,"OTHER OFFENSE",58
2019,17,"MOTOR VEHICLE THEFT",15
2019,17,"WEAPONS VIOLATION",38
2002,17,"HOMICIDE",7
2013,17,"CRIM SEXUAL ASSAULT",8
2018,17,"CRIMINAL TRESPASS",26
2017,17,"CRIM SEXUAL ASSAULT",5
2002,17,"INTERFERENCE WITH PUBLIC OFFICER",11
2010,17,"OFFENSE INVOLVING CHILDREN",24
2015,17,"HOMICIDE",6
2019,17,"DECEPTIVE PRACTICE",7
2003,17,"CRIM SEXUAL ASSAULT",14
2017,17,"ROBBERY",27
2018,17,"OFFENSE INVOLVING CHILDREN",9
2003,17,"HOMICIDE",10
2009,17,"MOTOR VEHICLE THEFT",25
2016,17,"MOTOR VEHICLE THEFT",42
2010,17,"SEX OFFENSE",19
2004,17,"GAMBLING",23
2014,17,"CRIM SEXUAL ASSAULT",8
2004,17,"OFFENSE INVOLVING CHILDREN",27
2006,17,"OFFENSE INVOLVING CHILDREN",29
2018,17,"ASSAULT",48
2003,17,"OFFENSE INVOLVING CHILDREN",23
2011,17,"SEX OFFENSE",19
2018,17,"LIQUOR LAW VIOLATION",7
2011,17,"CRIM SEXUAL ASSAULT",16
2014,17,"CRIMINAL DAMAGE",61
2016,17,"HOMICIDE",7
2012,17,"STALKING",3
2014,17,"OFFENSE INVOLVING CHILDREN",18
2014,17,"DECEPTIVE PRACTICE",29
2018,17,"PUBLIC PEACE VIOLATION",9
2012,17,"HOMICIDE",4
2004,17,"HOMICIDE",8
2014,17,"SEX OFFENSE",10
2011,17,"HOMICIDE",5
2007,17,"INTERFERENCE WITH PUBLIC OFFICER",9
2009,17,"CRIM SEXUAL ASSAULT",5
2016,17,"CRIMINAL DAMAGE",38
2016,17,"PUBLIC PEACE VIOLATION",17
2017,17,"PUBLIC PEACE VIOLATION",10
2010,17,"ROBBERY",45
2009,17,"ROBBERY",40
2019,17,"ROBBERY",12
2016,17,"ASSAULT",57
2018,17,"BURGLARY",16
2017,17,"BURGLARY",27
2015,17,"BURGLARY",15
2016,17,"BURGLARY",17
2019,17,"BURGLARY",17
2013,17,"BURGLARY",19
2013,17,"MOTOR VEHICLE THEFT",20
2015,17,"MOTOR VEHICLE THEFT",22
2019,17,"PROSTITUTION",8
2017,16,"WEAPONS VIOLATION",29
2018,16,"LIQUOR LAW VIOLATION",15
2012,16,"PROSTITUTION",6
2018,16,"ARSON",3
2008,16,"WEAPONS VIOLATION",43
2012,16,"MOTOR VEHICLE THEFT",34
2018,16,"OFFENSE INVOLVING CHILDREN",11
2011,16,"INTIMIDATION",2
2019,16,"ROBBERY",16
2003,16,"PROSTITUTION",84
2011,16,"WEAPONS VIOLATION",27
2019,16,"PROSTITUTION",2
2005,16,"OTHER NARCOTIC VIOLATION",1
2018,16,"HOMICIDE",1
2010,16,"WEAPONS VIOLATION",47
2010,16,"PROSTITUTION",18
2015,16,"WEAPONS VIOLATION",34
2015,16,"PUBLIC PEACE VIOLATION",36
2012,16,"CRIM SEXUAL ASSAULT",3
2007,16,"PROSTITUTION",34
2017,16,"LIQUOR LAW VIOLATION",7
2009,16,"CRIM SEXUAL ASSAULT",8
2015,16,"INTERFERENCE WITH PUBLIC OFFICER",20
2010,16,"ROBBERY",20
2019,16,"HOMICIDE",6
2019,16,"OTHER NARCOTIC VIOLATION",1
2004,16,"HOMICIDE",4
2019,16,"DECEPTIVE PRACTICE",26
2013,16,"HOMICIDE",3
2017,16,"PUBLIC PEACE VIOLATION",16
2015,16,"CRIM SEXUAL ASSAULT",10
2011,16,"LIQUOR LAW VIOLATION",28
2013,16,"INTIMIDATION",1
2007,16,"INTIMIDATION",5
2008,16,"PROSTITUTION",10
2010,16,"CRIM SEXUAL ASSAULT",9
2015,16,"SEX OFFENSE",11
2007,16,"INTERFERENCE WITH PUBLIC OFFICER",11
2016,16,"OBSCENITY",3
2003,16,"KIDNAPPING",3
2009,17,"SEX OFFENSE",15
2011,16,"SEX OFFENSE",12
2016,16,"ARSON",1
2019,16,"CONCEALED CARRY LICENSE VIOLATION",34
2019,16,"OFFENSE INVOLVING CHILDREN",10
2001,16,"HOMICIDE",4
2018,16,"INTERFERENCE WITH PUBLIC OFFICER",10
2007,17,"CRIM SEXUAL ASSAULT",8
2008,16,"GAMBLING",6
2013,16,"LIQUOR LAW VIOLATION",17
2014,16,"INTIMIDATION",2
2011,16,"CRIM SEXUAL ASSAULT",8
2016,17,"SEX OFFENSE",7
2007,16,"ARSON",2
2015,16,"OBSCENITY",4
2017,16,"OBSCENITY",4
2014,16,"PROSTITUTION",21
2018,16,"PROSTITUTION",1
2004,16,"ARSON",8
2010,16,"GAMBLING",2
2018,16,"BURGLARY",20
2019,16,"BURGLARY",16
2010,16,"MOTOR VEHICLE THEFT",27
2006,17,"MOTOR VEHICLE THEFT",46
2018,16,"MOTOR VEHICLE THEFT",15
2019,16,"WEAPONS VIOLATION",34
2017,17,"SEX OFFENSE",10
2015,17,"INTERFERENCE WITH PUBLIC OFFICER",11
2015,17,"OBSCENITY",1
2018,17,"OBSCENITY",4
2013,17,"SEX OFFENSE",9
2008,17,"HOMICIDE",2
2007,17,"INTIMIDATION",3
2002,17,"STALKING",3
2017,17,"DECEPTIVE PRACTICE",24
2008,17,"GAMBLING",3
2018,17,"SEX OFFENSE",7
2006,17,"KIDNAPPING",2
2002,17,"INTIMIDATION",2
2010,17,"MOTOR VEHICLE THEFT",25
2018,17,"PROSTITUTION",1
2019,17,"LIQUOR LAW VIOLATION",7
2016,17,"OFFENSE INVOLVING CHILDREN",7
2015,17,"LIQUOR LAW VIOLATION",9
2016,17,"ARSON",1
2010,17,"OBSCENITY",1
2014,17,"HOMICIDE",2
2014,17,"MOTOR VEHICLE THEFT",14
2019,17,"OBSCENITY",2
2003,17,"KIDNAPPING",7
2015,17,"ROBBERY",11
2019,16,"ARSON",2
2012,16,"ARSON",1
2007,16,"GAMBLING",9
2008,NA,"OTHER OFFENSE",1
2005,16,"CRIM SEXUAL ASSAULT",4
2012,16,"STALKING",2
2005,16,"INTERFERENCE WITH PUBLIC OFFICER",13
2005,25,"WEAPONS VIOLATION",233
2002,16,"ARSON",5
2015,16,"MOTOR VEHICLE THEFT",17
2010,16,"HOMICIDE",2
2012,16,"HOMICIDE",4
2004,16,"OFFENSE INVOLVING CHILDREN",14
2018,16,"OBSCENITY",2
2015,25,"OFFENSE INVOLVING CHILDREN",32
2009,16,"STALKING",2
2006,16,"CRIM SEXUAL ASSAULT",5
2009,16,"INTERFERENCE WITH PUBLIC OFFICER",3
2011,16,"MOTOR VEHICLE THEFT",22
2007,25,"WEAPONS VIOLATION",178
2008,25,"OTHER OFFENSE",225
2018,25,"OTHER OFFENSE",185
2016,25,"INTERFERENCE WITH PUBLIC OFFICER",51
2017,25,"BURGLARY",38
2016,25,"HOMICIDE",13
2002,25,"GAMBLING",52
2003,25,"PROSTITUTION",840
2006,25,"CRIMINAL TRESPASS",395
2006,25,"DECEPTIVE PRACTICE",105
2006,25,"OFFENSE INVOLVING CHILDREN",74
2007,25,"PUBLIC PEACE VIOLATION",254
2008,25,"CRIMINAL TRESPASS",347
2008,25,"LIQUOR LAW VIOLATION",83
2010,25,"OTHER OFFENSE",199
2011,25,"INTERFERENCE WITH PUBLIC OFFICER",105
2012,25,"INTIMIDATION",5
2013,25,"INTERFERENCE WITH PUBLIC OFFICER",112
2016,25,"ASSAULT",171
2003,25,"HOMICIDE",18
2006,25,"PUBLIC PEACE VIOLATION",146
2006,25,"GAMBLING",63
2007,25,"INTERFERENCE WITH PUBLIC OFFICER",59
2008,25,"PROSTITUTION",603
2009,25,"CRIMINAL DAMAGE",243
2010,25,"CRIMINAL TRESPASS",235
2011,25,"PUBLIC PEACE VIOLATION",101
2011,25,"CRIM SEXUAL ASSAULT",23
2012,25,"WEAPONS VIOLATION",162
2013,25,"PROSTITUTION",209
2017,25,"ASSAULT",186
2007,25,"OFFENSE INVOLVING CHILDREN",64
2009,25,"PUBLIC PEACE VIOLATION",171
2009,25,"ASSAULT",405
2001,25,"HOMICIDE",25
2011,25,"LIQUOR LAW VIOLATION",42
2012,25,"DECEPTIVE PRACTICE",71
2019,25,"INTERFERENCE WITH PUBLIC OFFICER",51
2007,25,"CRIM SEXUAL ASSAULT",21
2010,25,"PUBLIC PEACE VIOLATION",128
2010,25,"BURGLARY",83
2012,25,"PROSTITUTION",350
2012,25,"OFFENSE INVOLVING CHILDREN",35
2012,25,"INTERFERENCE WITH PUBLIC OFFICER",119
2015,25,"INTERFERENCE WITH PUBLIC OFFICER",119
2015,25,"OTHER OFFENSE",485
2017,25,"CONCEALED CARRY LICENSE VIOLATION",5
2017,25,"PUBLIC PEACE VIOLATION",54
2002,25,"STALKING",1
2004,25,"PUBLIC PEACE VIOLATION",83
2004,25,"CRIM SEXUAL ASSAULT",22
2008,25,"PUBLIC PEACE VIOLATION",143
2009,25,"WEAPONS VIOLATION",213
2009,25,"PROSTITUTION",539
2002,25,"HOMICIDE",31
2006,25,"PROSTITUTION",659
2009,25,"LIQUOR LAW VIOLATION",64
2009,25,"MOTOR VEHICLE THEFT",118
2010,25,"DECEPTIVE PRACTICE",68
2011,25,"PROSTITUTION",375
2008,25,"OFFENSE INVOLVING CHILDREN",63
2015,25,"CRIM SEXUAL ASSAULT",19
2017,25,"SEX OFFENSE",26
2018,25,"DECEPTIVE PRACTICE",24
2005,25,"PUBLIC PEACE VIOLATION",93
2008,25,"ROBBERY",101
2008,25,"WEAPONS VIOLATION",177
2004,25,"SEX OFFENSE",39
2007,25,"PROSTITUTION",603
2018,25,"CRIM SEXUAL ASSAULT",14
2019,25,"PUBLIC PEACE VIOLATION",44
2005,25,"HOMICIDE",26
2010,25,"LIQUOR LAW VIOLATION",52
2011,25,"WEAPONS VIOLATION",202
2012,25,"PUBLIC PEACE VIOLATION",79
2013,25,"LIQUOR LAW VIOLATION",24
2005,25,"INTERFERENCE WITH PUBLIC OFFICER",79
2010,25,"WEAPONS VIOLATION",205
2011,25,"KIDNAPPING",4
2019,25,"HOMICIDE",6
2015,25,"LIQUOR LAW VIOLATION",16
2016,25,"OFFENSE INVOLVING CHILDREN",34
2016,25,"ARSON",4
2004,25,"CRIMINAL TRESPASS",455
2007,25,"ARSON",8
2012,25,"LIQUOR LAW VIOLATION",40
2004,25,"HOMICIDE",18
2013,25,"BURGLARY",58
2016,25,"LIQUOR LAW VIOLATION",6
2003,25,"SEX OFFENSE",46
2003,25,"LIQUOR LAW VIOLATION",79
2004,25,"INTIMIDATION",5
2005,25,"ROBBERY",117
2010,25,"SEX OFFENSE",22
2005,25,"GAMBLING",50
2019,25,"CRIM SEXUAL ASSAULT",3
2017,25,"OFFENSE INVOLVING CHILDREN",21
2009,25,"DECEPTIVE PRACTICE",86
2019,25,"STALKING",4
2015,25,"DECEPTIVE PRACTICE",35
2018,25,"INTERFERENCE WITH PUBLIC OFFICER",47
2015,25,"PROSTITUTION",126
2003,25,"WEAPONS VIOLATION",225
2006,25,"SEX OFFENSE",24
2010,25,"ARSON",6
2012,25,"CRIM SEXUAL ASSAULT",25
2006,25,"ROBBERY",97
2007,25,"ROBBERY",81
2009,25,"SEX OFFENSE",24
2009,25,"KIDNAPPING",3
2013,25,"DECEPTIVE PRACTICE",81
2019,25,"ROBBERY",22
2012,25,"ROBBERY",70
2011,25,"PUBLIC INDECENCY",1
2014,25,"PUBLIC PEACE VIOLATION",126
2016,25,"CONCEALED CARRY LICENSE VIOLATION",1
2019,25,"PROSTITUTION",35
2006,25,"LIQUOR LAW VIOLATION",79
2013,25,"SEX OFFENSE",20
2007,25,"HOMICIDE",15
2010,25,"CRIM SEXUAL ASSAULT",17
2011,25,"OBSCENITY",2
2011,25,"ROBBERY",84
2017,25,"PROSTITUTION",34
2007,25,"DECEPTIVE PRACTICE",115
2011,25,"SEX OFFENSE",15
2009,25,"INTERFERENCE WITH PUBLIC OFFICER",43
2014,25,"MOTOR VEHICLE THEFT",44
2017,25,"MOTOR VEHICLE THEFT",87
2018,25,"HOMICIDE",15
2019,25,"MOTOR VEHICLE THEFT",35
2019,25,"OBSCENITY",7
2015,25,"MOTOR VEHICLE THEFT",66
2008,25,"INTIMIDATION",6
2013,25,"ARSON",4
2006,25,"WEAPONS VIOLATION",198
2011,25,"ARSON",2
2019,25,"SEX OFFENSE",16
2016,25,"WEAPONS VIOLATION",126
2018,25,"CRIMINAL TRESPASS",118
2012,25,"HOMICIDE",13
2015,25,"ROBBERY",61
2003,25,"GAMBLING",59
2003,25,"INTERFERENCE WITH PUBLIC OFFICER",20
2010,25,"ROBBERY",88
2011,25,"BURGLARY",64
2008,25,"GAMBLING",43
2008,25,"CRIM SEXUAL ASSAULT",19
2016,25,"INTIMIDATION",5
2015,25,"CRIMINAL DAMAGE",99
2017,25,"ROBBERY",41
2018,25,"CRIMINAL DAMAGE",86
2019,25,"CRIMINAL DAMAGE",68
2018,25,"PUBLIC PEACE VIOLATION",31
2010,25,"OFFENSE INVOLVING CHILDREN",59
2014,25,"PROSTITUTION",220
2019,25,"OFFENSE INVOLVING CHILDREN",21
2014,25,"CRIM SEXUAL ASSAULT",19
2014,25,"SEX OFFENSE",15
2016,25,"ROBBERY",22
2003,25,"ROBBERY",92
2014,25,"WEAPONS VIOLATION",122
2014,25,"DECEPTIVE PRACTICE",51
2015,25,"KIDNAPPING",2
2012,25,"SEX OFFENSE",22
2015,25,"INTIMIDATION",1
2018,25,"ROBBERY",43
2012,25,"BURGLARY",61
2004,25,"BURGLARY",100
2016,25,"BURGLARY",53
2015,25,"BURGLARY",46
2008,25,"BURGLARY",87
2014,25,"BURGLARY",46
2019,25,"BURGLARY",37
2019,25,"THEFT",339
2013,25,"MOTOR VEHICLE THEFT",41
2013,25,"WEAPONS VIOLATION",141
2016,25,"PROSTITUTION",80
2018,25,"PROSTITUTION",18
2004,25,"STALKING",2
2002,25,"OBSCENITY",2
2003,25,"ARSON",7
2018,25,"SEX OFFENSE",13
2006,25,"ARSON",6
2019,25,"DECEPTIVE PRACTICE",23
2014,25,"HOMICIDE",6
2009,25,"ARSON",11
2017,25,"LIQUOR LAW VIOLATION",8
2002,25,"ARSON",8
2003,12,"SEX OFFENSE",66
2002,25,"INTERFERENCE WITH PUBLIC OFFICER",12
2014,25,"LIQUOR LAW VIOLATION",18
2009,25,"CRIM SEXUAL ASSAULT",10
2013,25,"HOMICIDE",5
2017,14,"HOMICIDE",4
2003,14,"SEX OFFENSE",35
2005,14,"OTHER OFFENSE",166
2005,14,"DECEPTIVE PRACTICE",90
2009,14,"OTHER OFFENSE",127
2011,14,"DECEPTIVE PRACTICE",38
2012,14,"PUBLIC PEACE VIOLATION",70
2003,14,"OTHER OFFENSE",202
2003,14,"CRIMINAL DAMAGE",176
2004,14,"PROSTITUTION",667
2007,14,"LIQUOR LAW VIOLATION",77
2009,14,"ASSAULT",184
2004,14,"LIQUOR LAW VIOLATION",85
2006,14,"THEFT",330
2007,14,"BATTERY",700
2011,14,"NARCOTICS",688
2013,14,"ROBBERY",66
2015,14,"NARCOTICS",294
2018,17,"INTERFERENCE WITH PUBLIC OFFICER",5
2003,14,"OBSCENITY",1
2004,14,"OTHER OFFENSE",179
2008,14,"OFFENSE INVOLVING CHILDREN",28
2011,14,"ASSAULT",176
2017,17,"CONCEALED CARRY LICENSE VIOLATION",1
2002,14,"ARSON",6
2003,14,"NARCOTICS",1491
2003,14,"PUBLIC PEACE VIOLATION",88
2004,14,"BATTERY",794
2009,14,"CRIMINAL TRESPASS",223
2009,14,"GAMBLING",3
2018,14,"PUBLIC PEACE VIOLATION",21
2018,14,"INTERFERENCE WITH PUBLIC OFFICER",21
2019,14,"NARCOTICS",117
2003,14,"MOTOR VEHICLE THEFT",116
2005,14,"BATTERY",800
2006,14,"NARCOTICS",1320
2009,14,"PUBLIC PEACE VIOLATION",61
2010,14,"INTERFERENCE WITH PUBLIC OFFICER",22
2009,14,"NARCOTICS",955
2003,14,"DECEPTIVE PRACTICE",131
2004,14,"CRIMINAL TRESPASS",252
2006,14,"ARSON",5
2007,14,"ASSAULT",251
2007,14,"WEAPONS VIOLATION",65
2007,14,"NARCOTICS",1161
2008,14,"LIQUOR LAW VIOLATION",69
2019,14,"DECEPTIVE PRACTICE",35
2016,14,"INTERFERENCE WITH PUBLIC OFFICER",13
2016,14,"DECEPTIVE PRACTICE",34
2006,14,"ASSAULT",251
2012,14,"NARCOTICS",822
2005,14,"PUBLIC PEACE VIOLATION",65
2006,14,"PUBLIC PEACE VIOLATION",81
2008,14,"OTHER OFFENSE",138
2008,14,"SEX OFFENSE",29
2014,14,"LIQUOR LAW VIOLATION",33
2014,14,"ASSAULT",130
2015,14,"OTHER OFFENSE",108
2018,14,"OTHER OFFENSE",74
2004,14,"NARCOTICS",1485
2007,14,"OTHER OFFENSE",145
2008,14,"NARCOTICS",1168
2015,14,"PUBLIC PEACE VIOLATION",36
2005,14,"CRIMINAL TRESPASS",268
2009,14,"MOTOR VEHICLE THEFT",51
2017,14,"ASSAULT",107
2003,14,"OFFENSE INVOLVING CHILDREN",35
2006,14,"INTERFERENCE WITH PUBLIC OFFICER",26
2011,14,"OTHER OFFENSE",103
2015,25,"ARSON",3
2006,14,"ROBBERY",61
2019,14,"BATTERY",279
2019,14,"ASSAULT",142
2018,14,"ROBBERY",22
2019,25,"LIQUOR LAW VIOLATION",6
2010,14,"NARCOTICS",899
2016,14,"ASSAULT",101
2018,14,"CRIMINAL TRESPASS",94
2007,14,"CRIMINAL TRESPASS",223
2007,14,"PUBLIC PEACE VIOLATION",70
2009,14,"WEAPONS VIOLATION",87
2012,14,"OTHER OFFENSE",75
2013,14,"LIQUOR LAW VIOLATION",32
2010,14,"ASSAULT",177
2019,14,"CRIMINAL TRESPASS",136
2003,14,"CRIMINAL TRESPASS",207
2005,14,"MOTOR VEHICLE THEFT",105
2010,14,"WEAPONS VIOLATION",57
2018,14,"PROSTITUTION",1
2003,14,"LIQUOR LAW VIOLATION",91
2005,14,"LIQUOR LAW VIOLATION",52
2006,14,"CRIMINAL TRESPASS",280
2011,14,"ROBBERY",49
2016,14,"NARCOTICS",132
2003,14,"BATTERY",821
2010,14,"PUBLIC PEACE VIOLATION",64
2012,14,"CRIMINAL DAMAGE",137
2003,14,"ASSAULT",271
2007,14,"MOTOR VEHICLE THEFT",68
2011,14,"STALKING",3
2013,14,"CRIM SEXUAL ASSAULT",7
2015,14,"DECEPTIVE PRACTICE",28
2017,14,"CRIMINAL TRESPASS",113
2004,14,"DECEPTIVE PRACTICE",113
2005,14,"ASSAULT",258
2016,14,"PUBLIC PEACE VIOLATION",23
2003,14,"CRIM SEXUAL ASSAULT",18
2006,14,"BATTERY",808
2006,14,"PROSTITUTION",246
2012,14,"PROSTITUTION",33
2015,14,"BATTERY",301
2010,14,"STALKING",2
2012,14,"THEFT",251
2016,14,"BATTERY",301
2008,14,"WEAPONS VIOLATION",84
2011,14,"BATTERY",525
2007,14,"CRIM SEXUAL ASSAULT",11
2009,14,"DECEPTIVE PRACTICE",51
2010,14,"DECEPTIVE PRACTICE",57
2017,14,"PUBLIC PEACE VIOLATION",12
2005,14,"NARCOTICS",1247
2010,14,"CRIMINAL DAMAGE",161
2012,14,"BATTERY",478
2012,14,"CRIMINAL TRESPASS",206
2013,14,"DECEPTIVE PRACTICE",53
2014,14,"OTHER OFFENSE",94
2016,14,"CRIMINAL DAMAGE",67
2013,14,"BATTERY",367
2005,14,"SEX OFFENSE",23
2013,14,"PROSTITUTION",12
2006,14,"DECEPTIVE PRACTICE",77
2013,14,"PUBLIC PEACE VIOLATION",48
2017,25,"HOMICIDE",15
2013,14,"INTERFERENCE WITH PUBLIC OFFICER",23
2005,14,"ROBBERY",68
2008,14,"CRIMINAL DAMAGE",191
2008,14,"ROBBERY",74
2015,14,"SEX OFFENSE",9
2006,14,"CRIMINAL DAMAGE",220
2011,14,"PUBLIC PEACE VIOLATION",55
2002,14,"INTERFERENCE WITH PUBLIC OFFICER",13
2005,14,"OBSCENITY",3
2006,14,"OTHER OFFENSE",155
2008,14,"GAMBLING",6
2009,14,"BATTERY",698
2012,14,"ASSAULT",126
2008,14,"PUBLIC PEACE VIOLATION",72
2010,14,"ROBBERY",69
2011,14,"CRIM SEXUAL ASSAULT",6
2015,14,"CRIMINAL DAMAGE",85
2008,14,"DECEPTIVE PRACTICE",78
2003,14,"GAMBLING",23
2011,14,"LIQUOR LAW VIOLATION",53
2012,14,"LIQUOR LAW VIOLATION",42
2003,14,"INTERFERENCE WITH PUBLIC OFFICER",21
2004,14,"WEAPONS VIOLATION",114
2006,14,"HOMICIDE",6
2003,25,"KIDNAPPING",6
2009,14,"SEX OFFENSE",22
2010,14,"ARSON",3
2010,14,"BURGLARY",47
2005,14,"CRIMINAL DAMAGE",204
2009,14,"LIQUOR LAW VIOLATION",49
2014,14,"CRIM SEXUAL ASSAULT",13
2014,14,"DECEPTIVE PRACTICE",27
2016,14,"LIQUOR LAW VIOLATION",10
2017,14,"OFFENSE INVOLVING CHILDREN",6
2008,14,"CRIMINAL TRESPASS",252
2012,14,"KIDNAPPING",2
2014,14,"NARCOTICS",318
2014,14,"CRIMINAL TRESPASS",138
2014,14,"OFFENSE INVOLVING CHILDREN",13
2013,14,"ASSAULT",130
2013,14,"OTHER OFFENSE",86
2013,14,"CRIMINAL DAMAGE",86
2006,14,"LIQUOR LAW VIOLATION",73
2010,14,"MOTOR VEHICLE THEFT",32
2013,14,"NARCOTICS",476
2009,14,"CRIMINAL DAMAGE",230
2014,14,"ROBBERY",37
2016,14,"WEAPONS VIOLATION",32
2008,14,"BATTERY",705
2013,14,"CRIMINAL TRESPASS",127
2009,14,"ROBBERY",72
2012,14,"ROBBERY",66
2003,14,"ROBBERY",76
2004,14,"ROBBERY",73
2007,14,"ROBBERY",68
2016,14,"ROBBERY",36
2010,14,"BATTERY",580
2018,14,"BATTERY",260
2014,14,"BATTERY",478
2017,14,"BATTERY",288
2008,14,"ASSAULT",217
2004,14,"ASSAULT",234
2018,14,"ASSAULT",103
2003,14,"BURGLARY",104
2004,14,"BURGLARY",63
2006,14,"BURGLARY",61
2005,14,"BURGLARY",68
2013,14,"BURGLARY",54
2019,14,"BURGLARY",29
2007,14,"BURGLARY",75
2009,14,"BURGLARY",65
2003,14,"THEFT",521
2010,14,"THEFT",267
2017,14,"THEFT",228
2016,14,"THEFT",240
2007,14,"THEFT",349
2005,14,"THEFT",388
2013,14,"THEFT",230
2004,14,"THEFT",368
2019,14,"THEFT",267
2015,14,"THEFT",218
2018,14,"THEFT",234
2008,14,"THEFT",318
2009,14,"THEFT",321
2014,14,"THEFT",212
2008,14,"MOTOR VEHICLE THEFT",58
2004,14,"MOTOR VEHICLE THEFT",127
2006,14,"MOTOR VEHICLE THEFT",84
2012,14,"MOTOR VEHICLE THEFT",43
2014,14,"MOTOR VEHICLE THEFT",10
2016,14,"MOTOR VEHICLE THEFT",36
2013,14,"MOTOR VEHICLE THEFT",41
2018,14,"CRIMINAL DAMAGE",69
2007,14,"CRIMINAL DAMAGE",238
2004,14,"CRIMINAL DAMAGE",186
2011,14,"CRIMINAL DAMAGE",122
2014,14,"CRIMINAL DAMAGE",103
2016,14,"CRIMINAL TRESPASS",113
2010,14,"CRIMINAL TRESPASS",204
2011,14,"CRIMINAL TRESPASS",167
2003,14,"WEAPONS VIOLATION",137
2017,14,"WEAPONS VIOLATION",42
2006,14,"WEAPONS VIOLATION",97
2019,14,"WEAPONS VIOLATION",54
2018,14,"WEAPONS VIOLATION",45
2003,14,"PROSTITUTION",531
2017,14,"NARCOTICS",109
2018,14,"NARCOTICS",82
2004,14,"OFFENSE INVOLVING CHILDREN",36
2006,14,"OFFENSE INVOLVING CHILDREN",38
2007,14,"INTERFERENCE WITH PUBLIC OFFICER",13
2012,14,"DECEPTIVE PRACTICE",44
2019,14,"ROBBERY",25
2018,14,"LIQUOR LAW VIOLATION",10
2019,14,"CONCEALED CARRY LICENSE VIOLATION",3
2016,14,"BURGLARY",42
2016,14,"OTHER OFFENSE",57
2018,14,"DECEPTIVE PRACTICE",23
2007,14,"DECEPTIVE PRACTICE",71
2007,14,"PROSTITUTION",300
2008,14,"PROSTITUTION",228
2014,14,"PUBLIC PEACE VIOLATION",27
2019,14,"OTHER OFFENSE",83
2010,14,"OTHER OFFENSE",73
2009,14,"HOMICIDE",8
2017,14,"MOTOR VEHICLE THEFT",37
2017,14,"DECEPTIVE PRACTICE",20
2013,14,"WEAPONS VIOLATION",35
2019,14,"LIQUOR LAW VIOLATION",17
2005,14,"PROSTITUTION",310
2010,14,"LIQUOR LAW VIOLATION",66
2017,14,"OTHER OFFENSE",68
2007,14,"SEX OFFENSE",34
2011,14,"OFFENSE INVOLVING CHILDREN",15
2012,14,"CRIM SEXUAL ASSAULT",7
2017,14,"ROBBERY",31
2005,14,"OFFENSE INVOLVING CHILDREN",38
2005,14,"ARSON",6
2004,14,"INTERFERENCE WITH PUBLIC OFFICER",13
2006,14,"SEX OFFENSE",27
2006,25,"HOMICIDE",15
2018,14,"ARSON",3
2005,14,"WEAPONS VIOLATION",107
2009,14,"INTERFERENCE WITH PUBLIC OFFICER",11
2015,14,"PROSTITUTION",7
2017,14,"LIQUOR LAW VIOLATION",12
2019,14,"CRIMINAL DAMAGE",52
2004,25,"OFFENSE INVOLVING CHILDREN",35
2018,14,"SEX OFFENSE",9
2019,14,"INTERFERENCE WITH PUBLIC OFFICER",32
2015,14,"MOTOR VEHICLE THEFT",32
2016,14,"OFFENSE INVOLVING CHILDREN",9
